"species","sequence_id","counts"
"Schizobrachiella SP.1","RGM.246711.1",0
"Schizobrachiella SP.1","RGM.246711.2",0
"Tubulipora anderssoni","RGM.246735.0",0
"Celleporella hyalina","RGM.246823.1",0
"Turbicellepora coronopus","RGM.246912.1",0
"Turbicellepora coronopus","RGM.246912.2",0
"Turbicellepora tubigera","RGM.246913",0
"Fenestrulina malusii","RGM.246972.12",0
"Aspidelectra SP.","RGM.246972.14",0
"Aspidelectra SP.","RGM.247041.5",0
"Fenestrulina malusii","RGM.247064.10",0
"Fenestrulina malusii","RGM.247124.9",0
"Smittoidea cf.","RGM.247410",0
"Schizomavella auriculata","RGM.247798",0
"Aspidelectra melolontha","RGM.247819.1",0
"Cytheromorpha zinndorfi","RGM.248660",0
"Muscardinus thaleri","RGM.253513",0
"Muscardinus thaleri","RGM.253520",0
"Muscardinus pliocaenicus","RGM.257787",0
"Anas blanchardi","RGM.260754",0
"Scardinius erythrophthalmus","RGM.260974",0
"Sorex sp.","RGM.261068",0
"Lamna lata","RGM.26567.A",0
"Muscardinus ","RGM.267714",0
"NA ","RGM.284075",0
"Roxania ","RGM.284075",0
"Brachystomia ","RGM.284828",0
"NA ","RGM.284828",0
"NA ","RGM.284922",0
"Retusa ","RGM.284922",0
"Calliostoma ","RGM.284997",0
"NA ","RGM.284997",0
"NA ","RGM.285022",0
"Retusa ","RGM.285022",0
"Alaria composita","RGM.296933",0
"Bibio obsoletus","RGM.297138",0
"Buprestis carbonum","RGM.297141",0
"Buprestis alutacea","RGM.297142",0
"Bibio SP.","RGM.297143",0
"Tipula SP.","RGM.297144",0
"Syrphus SP.","RGM.297145",0
"Lasius occultatus","RGM.297149",0
"Lasius occultatus","RGM.297150",0
"Lasius occultatus","RGM.297151",0
"Lasius globularis","RGM.297152",0
"Buprestis SP.","RGM.297161",0
"Brissopsis SP.","RGM.298764",0
"Bison priscus","RGM.30386",0
"Ovis aries","RGM.30648",0
"Bison priscus","RGM.31025",0
"Mulinia cleryana","RGM.31289",0
"Mulinia cleryana","RGM.31292",0
"Pholas sp.","RGM.33027",0
"Verruca stroemia","RGM.330302.5",0
"Cellepora koninckiana","RGM.33247",0
"Cellepora hippocrepis","RGM.33272",0
"Canis familiaris","RGM.33310",0
"Cellepora SP.INDET.","RGM.33396",0
"Muscardinus hispanicus","RGM.336401",0
"Muscardinus hispanicus","RGM.336402",0
"Muscardinus hispanicus","RGM.336412",0
"Muscardinus hispanicus","RGM.336420",0
"Eunapius fragilis","RGM.340148",0
"Eunapius fragilis","RGM.340149",0
"Eunapius fragilis","RGM.340150",0
"Hydractinia echinata","RGM.34720",0
"Canis familiaris","RGM.35236",0
"Canis familiaris","RGM.35238",0
"Micromys sp.","RGM.354132",0
"Micromys sp.","RGM.354135",0
"Micromys sp.","RGM.354143",0
"Micromys sp.","RGM.354148",0
"Micromys sp.","RGM.354164",0
"Micromys sp.","RGM.354165",0
"Micromys sp.","RGM.354166",0
"Maja squinado","RGM.372316",0
"Balanus SP.","RGM.372323",0
"Balanus sp.","RGM.372324",0
"Megabalanus tulipiformis","RGM.377036.0",0
"Chirona SP.","RGM.377044.1",0
"Chirona SP.","RGM.377045.1",0
"Megabalanus tintinnabulum","RGM.377090.1",0
"Megabalanus tulipiformis","RGM.377110",0
"Caryophyllia clavus","RGM.3782",0
"NA NA","RGM.3782",0
"Luidia sp.","RGM.383553",0
"NA NA","RGM.395105",0
"Yoldia longa","RGM.395105",0
"Cylichna ","RGM.395197",0
"NA ","RGM.395197",0
"Hiatella arctica","RGM.395342",0
"NA NA","RGM.395342",0
"Lucinella divaricata","RGM.395695",0
"NA NA","RGM.395695",0
"Astarte montagui","RGM.395726",0
"NA NA","RGM.395726",0
"NA NA","RGM.395733",0
"Parvicardium papillosum","RGM.395733",0
"NA NA","RGM.395910",0
"Neptunea striata","RGM.395910",0
"Echinocyamus ","RGM.397857",0
"NA ","RGM.397857",0
"Mesoplodon longirostris","RGM.40301",0
"Physeter sp.","RGM.40316",0
"Eliomys truci","RGM.403956",0
"Eliomys truci","RGM.403958",0
"Eliomys truci","RGM.403959",0
"Eliomys truci","RGM.403962",0
"Muscardinus sp.","RGM.404527",0
"Dibolia sp.","RGM.404625",0
"Dibolia sp.","RGM.404645",0
"Dibolia sp.","RGM.404651",0
"Dibolia sp.","RGM.404658",0
"Dibolia sp.","RGM.404659",0
"Dasyatis sp.","RGM.405031.A",0
"Galeorhinus sp.","RGM.405138.A",0
"Galeorhinus sp.","RGM.405140.A",0
"Dasyatis sp.","RGM.405227.A",0
"Dasyatis sp.","RGM.405260.A",0
"Mustelus sp.","RGM.405787.A",13
"Dasyatis sp.","RGM.405791.A",2
"Cervus sp.","RGM.405801.b",0
"Galeorhinus galeus","RGM.405811.A",0
"Cervus sp.","RGM.405812.b",0
"Alopias volpiaus","RGM.405813.A",0
"Alopias volpinus","RGM.405814.A",0
"Alopias volpinus","RGM.405815.A",0
"Galeorhinus galeus","RGM.405839.A",0
"Molva sp.","RGM.405880",0
"Esox lucius","RGM.406080.A",0
"Trachurus miosensis","RGM.408096",0
"Muscardinus sansaniensis","RGM.410776",0
"Dosinia ","RGM.41766",0
"Athene sp.","RGM.425984",0
"Brissopsis luzonica","RGM.4260",0
"NA latior","RGM.4260",0
"NA luzonica","RGM.4260",0
"Ceromya excentrica","RGM.42676",0
"Ditrupa ","RGM.429242",0
"NA ","RGM.429242",0
"NA ","RGM.429932",0
"Xylophaga ","RGM.429932",0
"Molva primaeva","RGM.442918",0
"Echiodon heinzelini","RGM.442924.A",0
"Echiodon heinzelini","RGM.442924.B",0
"Chelidonichthys mistensis","RGM.442940",0
"Chelidonichthys mistensis","RGM.442943",0
"Chelidonichthys burginatia","RGM.442949",0
"Phrynorhombus medius","RGM.442991",0
"Zeugopterus martinii","RGM.442992",0
"Zeugopterus martinii","RGM.442993",0
"Buglossidium frequens","RGM.442994",0
"Larus elegans","RGM.446141",0
"Microdon sp.","RGM.446359",0
"Myodes lemus","RGM.446526",0
"Microdon pagoda","RGM.446801",0
"Pleurophorus curionii","RGM.44694.0",0
"Pleurophorus curionii","RGM.44705",0
"Pleurophorus curionii","RGM.44706",0
"Pleurophorus curionii","RGM.44707",0
"Pleurophorus curionii","RGM.44710",0
"Pleurophorus curionii","RGM.44713",0
"Gadus aeglifinus","RGM.447133",0
"Castor fiber","RGM.449146",0
"Castor fiber","RGM.449712",0
"Microdon elegans","RGM.449826",0
"Pleurophorus curionii","RGM.45056",0
"Pleurophorus curionii","RGM.45064",0
"Castor fiber","RGM.450882",0
"Bufo viridis","RGM.451282",0
"Bufo viridis","RGM.453223",0
"Bufo sp. indet.","RGM.453238",0
"Bufo sp. indet.","RGM.453256",0
"Elaphe sp.","RGM.454928",0
"Helisoma sp.2","RGM.456503",0
"Echinocyamus ","RGM.457663",0
"NA ","RGM.457663",0
"Spatangus purpureus","RGM.45787",0
"Cochlicella acuta","RGM.457895",0
"NA NA","RGM.457895",0
"Eobania vermiculata","RGM.457897",0
"NA NA","RGM.457897",0
"Aequipecten ","RGM.457908",0
"NA ","RGM.457908",0
"Hydractinia sp.(on","RGM.45940",0
"Tinca sp.","RGM.46154",0
"NA NA","RGM.465166",0
"Yoldia lanceolata","RGM.465166",0
"NA NA","RGM.465679",0
"Pseudamussium princeps","RGM.465679",0
"NA NA","RGM.465684",0
"Pseudamussium princeps","RGM.465684",0
"Aequipecten opercularis","RGM.465691",0
