naturalis_id,species_id
RGM.466458,16526
RGM.799761,16526
RGM.799762,16526
RMNH.MOL.12276,16526
ZMA.MOLL.105971,16526
ZMA.MOLL.16458,16526
ZMA.MOLL.597,16526
RGM.466579,26488
ZMA.MOLL.131083,26488
ZMA.MOLL.131100,26488
ZMA.MOLL.131106,26488
ZMA.MOLL.131135,26488
ZMA.MOLL.131138,26488
RGM.466939,22334
RGM.466966,22334
RGM.466977,22334
RGM.609039,22334
RMNH.MOL.49892,22334
RMNH.MOL.49897,22334
ZMA.MOLL.126932,22334
ZMA.MOLL.213621,22334
RGM.466983,30240
RGM.466990,30240
RGM.503008,30240
RGM.503039,30240
RGM.931678,30240
RGM.931682,30240
RGM.934321,30240
RMNH.MOL.132735,30240
RMNH.MOL.AD.14222,30240
RGM.481910,76
RGM.481917,76
RGM.482035,79
RGM.482052,79
ZMA.MOLL.430859,79
ZMA.MOLL.430863,79
ZMA.MOLL.430864,79
RGM.482067,77
RGM.482084,77
RGM.482075,78
RGM.482108,21472
RGM.482766,12803
RGM.482792,12803
RGM.482793,12803
RGM.482812,12803
ZMA.MOLL.975,12803
RGM.485462,22044
RGM.933602,22044
RMNH.MOL.345185,22044
RMNH.MOL.35014,22044
RMNH.MOL.35020,22044
RMNH.MOL.35022,22044
ZMA.MOLL.100256,22044
ZMA.MOLL.105962.2,22044
ZMA.MOLL.153925,22044
ZMA.MOLL.214576,22044
RGM.503153,3752
RGM.812838,3752
RGM.934308,3752
ZMA.MOLL.213687,3752
RGM.503265,18672
RGM.503267,18672
RGM.813174,18672
RGM.939758,18672
RMNH.MOL.329138,18672
RMNH.MOL.96351,18672
ZMA.MOLL.159076,18672
RGM.503270,25652
RGM.503289,25652
RGM.503291,25652
RGM.503294,25652
RGM.934241,25652
RGM.503299,2820
RGM.503314,2820
RGM.939614,2820
RMNH.MOL.AD.23855,2820
ZMA.MOLL.210927,2820
RGM.503473,15166
RGM.503475,15166
RGM.503483,15166
RGM.50485,22688
RGM.86461,22688
RMNH.5000068.b,22688
RMNH.5070349.a,22688
RMNH.MAM.31259,22688
RGM.564600,13693
RGM.564602,13693
RGM.564622,13693
RGM.564968,13693
RGM.803820,13693
RMNH.MOL.324795,13693
RMNH.MOL.324830,13693
RMNH.MOL.324835,13693
ZMA.MOLL.109698,13693
ZMA.MOLL.417574,13693
RGM.565122,28553
RMNH.MOL.329092,28553
RGM.565227,13578
RMNH.MOL.32408,13578
RMNH.MOL.AD.21765,13578
RMNH.MOL.AD.9543,13578
ZMA.MOLL.92352,13578
ZMA.MOLL.92355,13578
RGM.565233,15000
RMNH.MOL.22937,15000
RMNH.MOL.22938,15000
RMNH.MOL.22977,15000
RMNH.MOL.22987,15000
RMNH.MOL.49981,15000
RMNH.MOL.AD.12872,15000
RMNH.MOL.AD.1530,15000
RMNH.MOL.AD.26038,15000
RMNH.MOL.AD.4049,15000
RGM.565293,28005
RMNH.MOL.345024,28005
RMNH.MOL.AD.16800,28005
RMNH.MOL.AD.22160,28005
RMNH.MOL.AD.2217,28005
RMNH.MOL.AD.25434,28005
RMNH.MOL.FW.6639,28005
ZMA.MOLL.110025,28005
RGM.576990,13731
RGM.597253,13731
RMNH.CRUS.8474,13731
RMNH.CRUS.8586,13731
RMNH.CRUS.8671,13731
RGM.576992,14706
RGM.609233,14706
RMNH.CRUS.6492,14706
RMNH.CRUS.6543,14706
RGM.577088,25881
RGM.597154,25881
RGM.58182,16553
RMNH.MAM.17286.a,16553
RMNH.MAM.3488.a,16553
RMNH.MAM.53295.a,16553
RMNH.MAM.53323,16553
RMNH.MAM.6887.b,16553
