synonym_id,species_id,synonym_name,identification_reference
366,2968,Armadillidium nasutum,"Budde-Lund, 1885"
367,3021,Arrenurus schreuderi,"Besseling, 1953"
368,3025,Arrenurus curvisetus,"Viets, 1936"
369,3053,Arrenurus zachariae,"Koenike, 1886"
370,3063,Sacium nanum,"Mulsant & Rey, 1861"
371,3072,Arvicola terrestris,"Linnaeus, 1758"
372,3076,Steatoda phalerata,"Panzer, 1801"
373,3084,Angulus pygmaeus,"Lovén, 1846"
374,3084,Moerella pygmaea,"Lovén, 1846"
375,3084,Tellina pygmaea,"Lovén, 1846"
376,3085,Acarus aphidioides,"Linnaeus, 1758"
377,3086,Asca nova,"Willmann, 1939"
378,3086,Gamasus bicornis,"Canestrini & Fanzago, 1877"
379,3097,Aschistonyx carpinicola,"Rübsaamen, 1917"
380,3140,Gronops inaequalis,"Boheman, 1842"
381,3146,Ischnonyx prunorum,"Wachtl, 1888"
382,3147,Asphondylia mayeri,"Liebel, 1889"
383,3155,Aspidimorpha quadrimaculata,"Olivier, 1808"
384,3156,Aspidomorpha obovata,"Klug, 1835"
385,3158,Pseudaonidia duplex,"Cockerell, 1896"
386,3161,Arpidiphorus orbiculatus,"Gyllenhal, 1808"
387,3194,Acarus muscorum,"Scopoli, 1763"
388,3194,Liacarus bicornis,"Warburton & Pearce, 1905"
389,3194,Zetes pilosus,"Koch, 1841"
390,3199,Astenus longelytratus,"Palm, 1936"
391,3205,Asterocherus echinicola,"Norman, 1868"
392,3214,Pediobius acantha,"Walker, 1839"
393,3231,Asynapta populnea,"Panelius, 1965"
394,3232,Camptomyia strobi,"Kieffer, 1920"
395,3240,Athalia glabricollis,"Thomson, 1870"
396,3253,Athene noctua,"Scopoli, 1769"
397,3253,Athene noctua,"Brehm, 1857"
398,3334,Alaobia scapularis,"Sahlberg, 1831"
399,3338,Atheta anisi,"Bernhauer, 1913"
400,3346,Atheta nigricornis,"Thomson, 1852"
401,3355,Hister corvinus,"Germar, 1817"
402,3397,Atomaria procerula,"Erichson, 1846"
403,3406,Atomaria reitteri,"Lövendal, 1893"
404,3407,Atomaria barani,"Brisout, 1863"
405,3433,Atractides nodipalpis,"Viets, 1920"
406,3455,Atrichopogon hamifer,"Goetghebuer, 1920"
407,3468,Steganacarus diaphanus,"Jacot, 1930"
408,3468,Steganacarus striculus,"Koch, 1836"
409,3471,Attagenus gloriosus,"Fabricius, 1798"
410,3479,Aturus oudemansi,"Besseling, 1932"
411,3480,Aturus scaber,"Romijn, 1921"
412,3486,Atylotus plebejus,"Fallén, 1817"
413,3501,Baris chlorizans,"Germar, 1824"
414,3502,Baris cuprirostris,"Fabricius, 1787"
415,3503,Baris lepidii,"Germar, 1824"
416,3504,Baris picicornis,"Marsham, 1802"
417,3506,Aulacorthum solani,"Börner, 1939"
418,3508,Aulacorthum solani,"Börner, 1942"
419,3513,Bunodactis verrucosa,"Pennant, 1777"
420,3521,Aulagromyza lonicerae,"Briscke, 1881"
421,3551,Prionospio banyulensis,"Laubier, 1966"
422,3552,Achalcus melanotrichus,"Mik, 1878"
423,3568,Elminius modestus,"Darwin, 1854"
424,3582,Dermaleichus totani,"Canestrini, 1878"
425,3606,Azelia staegeri,"Zetterstedt, 1845"
426,3607,Azelia macquarti,"Staeger, 1843"
427,3614,Baccha obscuripennis,"Meigen, 1822"
428,3634,Bactromyia evonymella,"Ratzeburg, 1844"
429,3634,Bactromyia evonymellae,"Ratzeburg, 1844"
430,3634,Bactromyia prasinanae,"Van der Wulp, 1869"
431,3634,Bactromyia scutelligera,"Zetterstedt, 1844"
432,3651,Baetis binoculatus,"Linnaeus, 1758"
433,3651,Baetis bioculatus,"Linnaeus, 1758"
434,3655,Baetis pumilus,"Burmeister, 1839"
435,3657,Baetis wallengreni,"Bengtsson, 1912"
436,3662,Centroptilum tenellum,"Albarda, 1878"
437,3662,Raptobaetopus tenellus,"Albarda, 1878"
438,3665,Hydronomus alismatis,"Marsham, 1802"
439,3669,Dicranthus elegans,"Fabricius, 1801"
440,3677,Dicranthus majzlani,"Kodada, Holecová & Behne, 1992"
441,3685,Bagous angustus,"Silfverberg, 1977"
442,3706,Balistes carolinensis,"Gmelin, 1789"
443,3712,Ballus depressus,"Walckenaer, 1802"
444,3713,Heterochaeta costata,"Claparède, 1863"
445,3713,Tubifex costatus,"Claparède, 1863"
446,3728,Barbatula barbatulus,"Linnaeus, 1758"
447,3780,Barypithes trichopterus,"Gautier, 1863"
448,3781,Baryphyma maritima,"Crocker & Parker, 1970"
449,3863,Batrisodes delaportei,"Aubé, 1833"
450,3884,Belba pseudocorynopus,"Märkel & Meyer, 1960"
451,3885,Damaeus sufflexus,"Michael, 1885"
452,3888,Bellardia biseta,"Kramer, 1917"
453,3890,Bellardia aculeata,"Pandellé, 1896"
454,3891,Bellardia agilis,"Meigen, 1826"
455,3918,Bembidion tetragrammum,"Netolitzky, 1914"
456,3940,Bembidion bilunulatum,"Bielz, 1852"
457,3945,Bembidion stephensi,"Crotch, 1866"
458,3965,Beris strobli,"Dusek & Rozkosny, 1968"
459,3998,Bezzia brehmiana,"Kieffer, 1924"
460,3999,Bezzia solstitialis,"Winnertz, 1852"
461,4000,Bezzia albipes,"Winnertz, 1852"
462,4002,Bezzia spinifera,"Goetghebuer, 1920"
463,4003,Bezzia danica,"Kieffer, 1915"
464,4003,Bezzia xanthocephala,"Goetghebuer, 1911"
465,4008,Bezzia gracilis,"Winnertz, 1852"
466,4011,Bibio lepidus,"Loew, 1871"
467,4015,Bibio hybridus,"Haliday, 1833"
468,4019,Bibio lacteipennis,"Zetterstedt, 1850"
469,4022,Bibio atripes,"Duda, 1930"
470,4034,Bicellaria spuria,"Meigen, 1824"
471,4038,Bichaeta sanguinea,"Vejdovský, 1891"
472,4039,Metrioptera bicolor,"Philippi, 1830"
473,4043,Membranipora tenuis,"Desor, 1848"
474,4044,Spelobia bifrons,"Stenhammar, 1855"
475,4048,Allolobophoridella eiseni,"Levinsen, 1884"
476,4049,Dendrodrilus rubidus,"Savigny, 1826"
477,4064,Philonthus cephalotes,"Gravenhorst, 1802"
478,4065,Philonthus fimetarius,"Gravenhorst, 1802"
479,4067,Philonthus parcus,"Sharp, 1874"
480,4069,Philonthus puella,"Nordmann, 1837"
481,4070,Philonthus sordidus,"Gravenhorst, 1802"
482,4071,Philonthus sparsus,"Lucas, 1846"
483,4072,Philonthus spermophili,"Ganglbauer, 1897"
484,4073,Philonthus subuliformis,"Gravenhorst, 1802"
485,4074,Philonthus scribai,"Fauvel, 1867"
486,4074,Philonthus varipennis,"Scriba, 1864"
487,4075,Bos bonasus,"Linnaeus, 1758"
488,4077,Sabella crassicornis,"Sars, 1851"
489,4110,Blaesoxipha gladatrix,"Pandellé, 1896"
490,4110,Blaesoxipha lineata,"Fallén, 1817"
491,4129,Lasioseius dentriticus,"Berlese, 1918"
492,4129,Lasioseius fimbriatus,"Halbert, 1923"
493,4129,Seiulus amboinensis,"Oudemans, 1925"
494,4131,Blattisocius bakeri,"Chant, 1963"
495,4131,Typhlodromus mali,"Oudemans, 1929"
496,4132,Blattisocius triodons,"Keegan, 1944"
497,4132,Lasioseius similis,"Schweizer, 1949"
498,4132,Lasioseius tarsalis,"Berlese, 1918"
499,4132,Typhlodromus tineivorus,"Oudemans, 1929"
500,4133,Garmania urticana,"Nesbitt, 1954"
501,4135,Bledius bicornis,"Lohse, 1978"
